Time [ms],Altitude [m],Latitude [°],Longitude [°],Pressure[hPa],Temp[°C],gX[°],gY[°],gZ[°],acX[ms^2],acY[ms^2],acZ[ms^2],State[x]
12.0,287.39,49.237833,16.555667,97920.87,35.54,-4.03,3.3,-0.18,0.02,1.0,-0.0,3
25.0,287.43,49.237833,16.555667,97920.46,35.54,-4.03,3.11,-0.06,0.02,1.0,-0.0,3
37.0,287.27,49.237833,16.555667,97919.98,35.54,-3.97,2.99,-0.12,0.02,1.0,-0.0,3
50.0,287.32,49.237833,16.555667,97921.88,35.55,-3.91,3.17,-0.18,0.02,1.01,-0.0,3
63.0,287.3,49.237833,16.555667,97921.23,35.55,-3.97,3.3,-0.06,0.02,1.0,-0.0,3
76.0,287.37,49.237833,16.555667,97921.45,35.55,-3.97,3.11,-0.12,0.02,1.0,-0.0,3
89.0,287.36,49.237833,16.555667,97920.7,35.55,-4.03,3.11,-0.12,0.02,1.0,-0.0,3
102.0,287.4,49.237833,16.555667,97920.72,35.55,-4.09,3.17,-0.24,0.02,1.0,-0.0,3
114.0,287.36,49.237833,16.555667,97920.25,35.55,-4.03,3.11,-0.18,0.02,1.0,0.0,3
127.0,287.4,49.237833,16.555667,97920.79,35.55,-3.97,3.05,-0.24,0.02,1.0,-0.0,3
140.0,287.42,49.237833,16.555667,97920.33,35.55,-4.03,3.11,-0.24,0.02,1.0,-0.0,3
153.0,287.48,49.237833,16.555667,97920.12,35.55,-4.15,3.23,-0.18,0.02,1.0,0.0,3
165.0,287.49,49.237833,16.555667,97919.38,35.55,-4.09,3.17,-0.18,0.02,1.0,-0.0,3
177.0,287.45,49.237833,16.555667,97919.24,35.55,-4.03,3.05,-0.12,0.02,1.01,-0.0,3
190.0,287.46,49.237833,16.555667,97919.68,35.54,-3.85,3.17,-0.12,0.02,1.0,-0.0,3
203.0,287.48,49.237833,16.555667,97919.58,35.54,-3.97,3.05,-0.18,0.02,1.0,-0.0,3
215.0,287.46,49.237833,16.555667,97919.34,35.54,-3.97,3.11,-0.18,0.02,1.0,-0.0,3
228.0,287.38,49.237833,16.555667,97919.61,35.54,-3.97,3.17,-0.12,0.02,1.0,-0.0,3
241.0,287.37,49.237833,16.555667,97920.52,35.54,-4.03,3.17,-0.18,0.02,1.01,0.0,3
253.0,287.41,49.237833,16.555667,97920.61,35.54,-4.03,3.11,-0.24,0.02,1.0,-0.0,3
266.0,287.44,49.237833,16.555667,97920.2,35.55,-3.91,3.17,-0.18,0.02,1.0,-0.0,3
279.0,287.4,49.237833,16.555667,97919.86,35.55,-4.03,3.23,-0.12,0.02,1.0,0.0,3
291.0,287.44,49.237833,16.555667,97920.25,35.55,-4.09,3.05,-0.18,0.02,1.01,-0.0,3
304.0,287.42,49.237833,16.555667,97919.87,35.55,-4.03,3.23,-0.24,0.02,1.0,-0.01,3
316.0,287.44,49.237833,16.555667,97920.12,35.55,-4.03,2.99,-0.18,0.02,1.0,0.0,3
329.0,287.46,49.237833,16.555667,97919.89,35.55,-4.09,3.11,-0.31,0.02,1.0,-0.0,3
345.0,290.41,49.237833,16.555667,97885.51,34.51,-5.19,27.95,-0.79,0.04,2.09,-0.22,4
361.0,290.45,49.237833,16.555667,97885.17,34.51,-9.83,54.08,-2.32,0.08,2.2,-0.01,4
376.0,290.5,49.237833,16.555667,97884.67,34.51,-3.05,24.41,-4.76,0.03,2.58,-0.0,4
391.0,290.54,49.237833,16.555667,97884.12,34.51,-0.55,18.98,0.06,0.01,2.93,-0.09,4
407.0,290.61,49.237833,16.555667,97883.63,34.51,-3.54,16.3,5.49,0.01,3.26,-0.07,4
423.0,290.73,49.237833,16.555667,97882.87,34.51,-4.09,-8.61,-2.2,0.24,3.9,-0.1,4
438.0,290.93,49.237833,16.555667,97881.41,34.51,-5.07,-24.96,-1.65,0.04,4.64,0.02,4
454.0,291.27,49.237833,16.555667,97879.07,34.51,-6.16,15.99,-0.79,0.09,6.26,-0.03,4
470.0,291.65,49.237833,16.555667,97875.07,34.51,-15.75,95.83,-1.77,0.07,6.32,-0.09,4
486.0,292.33,49.237833,16.555667,97870.7,34.51,-27.04,115.3,-5.68,0.05,6.5,-0.02,4
502.0,293.19,49.237833,16.555667,97862.7,34.51,-41.56,137.27,-9.34,0.05,6.87,-0.09,4
518.0,294.21,49.237833,16.555667,97852.64,34.51,-48.89,176.76,-18.49,0.06,6.81,-0.12,4
534.0,295.51,49.237833,16.555667,97840.75,34.51,-45.04,226.62,-20.94,0.12,7.03,-0.18,4
549.0,296.76,49.237833,16.555667,97825.65,34.51,-34.55,319.76,-22.09,0.15,7.13,-0.25,4
564.0,298.1,49.237833,16.555667,97811.02,34.51,-19.23,455.32,-19.04,0.23,7.25,-0.28,4
579.0,299.57,49.237833,16.555667,97795.34,34.51,-6.71,630.07,-4.27,0.33,7.55,-0.46,4
