Time [ms],Altitude [m],Latitude [°],Longitude [°],NumSatellites[x],HDOP[x],valid[x],Pressure[hPa],Temp[°C],Battery[V],gX[°],gY[°],gZ[°],acX[ms^2],acY[ms^2],acZ[ms^2],State[x]
0,378.31,,,,,,,,8.33,,,,,,,1
737,378.31,49.766890,18.235011,0,0,0,,,8.33,,,,,,,1
923,378.24,49.766890,18.235011,0,0,0,,,8.34,,,,,,,1
1934,378.13,49.766890,18.235011,0,0,0,,,8.34,,,,,,,1
3045,378.23,49.766890,18.235011,0,0,0,,,8.34,,,,,,,1
3939,378.13,49.766890,18.235011,0,0,0,,,8.34,,,,,,,1
4971,378.25,49.766890,18.235011,0,0,0,,,8.34,,,,,,,1
5774,378.25,49.766890,18.235011,0,0,0,96862.70,28.02,8.34,,,,,,,1
5945,378.25,49.766890,18.235011,0,0,0,96862.70,28.02,8.34,,,,,,,1
6106,378.39,49.766890,18.235011,0,0,0,96862.70,28.02,8.34,,,,,,,1
7042,378.62,49.766890,18.235011,0,0,0,96862.70,28.02,8.34,,,,,,,1
8006,378.41,49.766890,18.235011,0,0,0,96862.70,28.02,8.34,,,,,,,1
8927,378.30,49.766890,18.235011,0,0,0,96862.70,28.02,8.34,,,,,,,1
9934,378.39,49.766890,18.235011,0,0,0,96862.70,28.02,8.34,,,,,,,1
10733,378.39,49.766890,18.235011,0,0,0,96862.70,28.02,8.34,,,,,,,1
10928,378.68,49.766890,18.235011,0,0,0,96862.70,28.02,8.34,,,,,,,1
12013,378.65,49.766890,18.235011,0,0,0,96862.70,28.02,8.34,,,,,,,1
12973,378.52,49.766890,18.235011,0,0,0,96862.70,28.02,8.34,,,,,,,1
13946,378.51,49.766890,18.235011,0,0,0,96862.70,28.02,8.34,,,,,,,1
14923,378.45,49.766890,18.235011,0,0,0,96862.70,28.02,8.34,,,,,,,1
15690,378.45,49.766890,18.235011,0,0,0,96857.95,28.14,8.34,,,,,,,1
15999,378.45,49.766890,18.235011,0,0,0,96857.95,28.14,8.34,,,,,,,1
16130,378.73,49.766890,18.235011,0,0,0,96857.95,28.14,8.34,,,,,,,1
16962,378.50,49.766890,18.235011,0,0,0,96857.95,28.14,8.34,,,,,,,1
17933,378.43,49.766890,18.235011,0,0,0,96857.95,28.14,8.34,,,,,,,1
18936,378.60,49.766890,18.235011,0,0,0,96857.95,28.14,8.34,,,,,,,1
20003,378.56,49.766890,18.235011,0,0,0,96857.95,28.14,8.34,,,,,,,1
20804,378.56,49.766890,18.235011,0,0,0,96857.95,28.14,8.34,,,,,,,1
20928,378.54,49.766890,18.235011,0,0,0,96857.95,28.14,8.34,,,,,,,1
21931,378.66,49.766890,18.235011,0,0,0,96857.95,28.14,8.34,,,,,,,1
23030,378.62,49.766890,18.235011,0,0,0,96857.95,28.14,8.34,,,,,,,1
24031,378.71,49.766890,18.235011,0,0,0,96857.95,28.14,8.34,,,,,,,1
24971,378.84,49.766890,18.235011,0,0,0,96857.95,28.14,8.34,,,,,,,1
25671,378.84,49.766890,18.235011,0,0,0,96856.14,28.26,8.34,,,,,,,1
